Porte,CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
DEMAIS,Perfuracoes e sondagens,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Pintura para sinalizacao em pistas rodoviarias e aeroportos,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Preparacao de canteiro e limpeza de terreno,2,0,1,0,1,1,0.0,50.0,50.0,2,1,1
DEMAIS,Preparacao de massa de concreto e argamassa para construcao,9,4,4,3,5,4,44.4444,44.4444,55.5556,5,5,4
DEMAIS,Preparacao do leite,16,2,1,1,2,14,12.5,6.25,12.5,14,15,14
DEMAIS,Preparacao e fiacao de fibras de algodao,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,"Preservacao de peixes, crustaceos e moluscos",3,1,0,0,1,2,33.3333,0.0,33.3333,2,3,2
DEMAIS,Processamento industrial do fumo,2,0,1,0,1,1,0.0,50.0,50.0,2,1,1
DEMAIS,Producao de artefatos estampados de metal,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Producao de carvao vegetal - florestas plantadas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Producao de gas; processamento de gas natural,6,2,0,0,2,4,33.3333,0.0,33.3333,4,6,4
DEMAIS,"Producao de relaminados, trefilados e perfilados de aco, exceto arames",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Producao e distribuicao de vapor, agua quente e ar condicionado",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Provedores de acesso as redes de comunicacoes,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
DEMAIS,"Recuperacao de materiais metalicos, exceto aluminio",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Recuperacao de materiais nao especificados anteriormente,3,2,1,1,2,1,66.6667,33.3333,66.6667,1,2,1
DEMAIS,Recuperacao de materiais plasticos,3,0,1,0,1,2,0.0,33.3333,33.3333,3,2,2
DEMAIS,Recuperacao de sucatas de aluminio,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Reforma de pneumaticos usados,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Restauracao e conservacao de lugares e predios historicos,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Serrarias sem desdobramento de madeira em bruto - resserragem,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Servico de corte e dobra de metais,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Servico movel especializado - sme,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Servicos de borracharia para veiculos automotores,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
DEMAIS,Servicos de comunicacao multimidia - scm,31,1,2,1,2,29,3.2258,6.4516,6.4516,30,29,29
DEMAIS,Servicos de engenharia,65,1,3,1,3,62,1.5385,4.6154,4.6154,64,62,62
