Municipio,Porte,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Carneiros,PEQUENO PORTE,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Chã Preta,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Chã Preta,MICRO EMPRESA,23,0,0,0,0,23,0.0,0.0,0.0,23,23,23
Chã Preta,PEQUENO PORTE,2,0,1,0,1,1,0.0,50.0,50.0,2,1,1
Coité do Nóia,DEMAIS,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Coité do Nóia,MICRO EMPRESA,32,1,0,0,1,31,3.125,0.0,3.125,31,32,31
Coité do Nóia,PEQUENO PORTE,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
Colônia Leopoldina,DEMAIS,7,0,0,0,0,7,0.0,0.0,0.0,7,7,7
Colônia Leopoldina,MICRO EMPRESA,72,0,0,0,0,72,0.0,0.0,0.0,72,72,72
Colônia Leopoldina,PEQUENO PORTE,12,0,0,0,0,12,0.0,0.0,0.0,12,12,12
Coqueiro Seco,DEMAIS,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Coqueiro Seco,MICRO EMPRESA,44,0,0,0,0,44,0.0,0.0,0.0,44,44,44
Coqueiro Seco,PEQUENO PORTE,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Coruripe,DEMAIS,27,0,0,0,0,27,0.0,0.0,0.0,27,27,27
Coruripe,MICRO EMPRESA,395,1,1,0,2,393,0.2532,0.2532,0.5063,394,394,393
Coruripe,PEQUENO PORTE,29,0,0,0,0,29,0.0,0.0,0.0,29,29,29
Craíbas,DEMAIS,15,3,2,1,4,11,20.0,13.3333,26.6667,12,13,11
Craíbas,MICRO EMPRESA,74,1,0,0,1,73,1.3514,0.0,1.3514,73,74,73
Craíbas,PEQUENO PORTE,14,0,0,0,0,14,0.0,0.0,0.0,14,14,14
Delmiro Gouveia,DEMAIS,25,1,1,0,2,23,4.0,4.0,8.0,24,24,23
Delmiro Gouveia,MICRO EMPRESA,368,3,2,2,3,365,0.8152,0.5435,0.8152,365,366,365
Delmiro Gouveia,PEQUENO PORTE,23,1,0,0,1,22,4.3478,0.0,4.3478,22,23,22
Dois Riachos,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Dois Riachos,MICRO EMPRESA,15,0,0,0,0,15,0.0,0.0,0.0,15,15,15
Dois Riachos,PEQUENO PORTE,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Estrela de Alagoas,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Estrela de Alagoas,MICRO EMPRESA,23,0,0,0,0,23,0.0,0.0,0.0,23,23,23
Estrela de Alagoas,PEQUENO PORTE,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Feira Grande,DEMAIS,7,0,0,0,0,7,0.0,0.0,0.0,7,7,7
Feira Grande,MICRO EMPRESA,53,0,1,0,1,52,0.0,1.8868,1.8868,53,52,52
Feira Grande,PEQUENO PORTE,12,0,0,0,0,12,0.0,0.0,0.0,12,12,12
Feliz Deserto,DEMAIS,3,1,0,0,1,2,33.3333,0.0,33.3333,2,3,2
Feliz Deserto,MICRO EMPRESA,19,0,0,0,0,19,0.0,0.0,0.0,19,19,19
Feliz Deserto,PEQUENO PORTE,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Flexeiras,DEMAIS,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Flexeiras,MICRO EMPRESA,54,0,0,0,0,54,0.0,0.0,0.0,54,54,54
Flexeiras,PEQUENO PORTE,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Girau do Ponciano,DEMAIS,7,0,0,0,0,7,0.0,0.0,0.0,7,7,7
Girau do Ponciano,MICRO EMPRESA,110,1,1,0,2,108,0.9091,0.9091,1.8182,109,109,108
Girau do Ponciano,PEQUENO PORTE,18,1,0,0,1,17,5.5556,0.0,5.5556,17,18,17
Ibateguara,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Ibateguara,MICRO EMPRESA,56,0,0,0,0,56,0.0,0.0,0.0,56,56,56
Ibateguara,PEQUENO PORTE,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Igaci,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Igaci,MICRO EMPRESA,44,0,1,0,1,43,0.0,2.2727,2.2727,44,43,43
Igaci,PEQUENO PORTE,7,1,0,0,1,6,14.2857,0.0,14.2857,6,7,6
Igreja Nova,DEMAIS,9,1,1,1,1,8,11.1111,11.1111,11.1111,8,8,8
Igreja Nova,MICRO EMPRESA,44,0,0,0,0,44,0.0,0.0,0.0,44,44,44
Igreja Nova,PEQUENO PORTE,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Inhapi,DEMAIS,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Inhapi,MICRO EMPRESA,29,0,0,0,0,29,0.0,0.0,0.0,29,29,29
