CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
"Fabricacao de farinha de milho e derivados, exceto oleos de milho",12,2,0,0,2,10,16.6667,0.0,16.6667,10,12,10
Fabricacao de equipamentos e acessorios para seguranca pessoal e profissional,11,0,0,0,0,11,0.0,0.0,0.0,11,11,11
Coleta de residuos perigosos,11,1,0,0,1,10,9.0909,0.0,9.0909,10,11,10
Fabricacao de saboes e detergentes sinteticos,11,2,1,1,2,9,18.1818,9.0909,18.1818,9,10,9
Faccao de roupas intimas,11,0,0,0,0,11,0.0,0.0,0.0,11,11,11
Tratamento e disposicao de residuos nao perigosos,11,4,1,0,5,6,36.3636,9.0909,45.4545,7,10,6
"Fabricacao de artefatos de material plastico para uso na construcao, exceto tubos e acessorios",11,3,2,2,3,8,27.2727,18.1818,27.2727,8,9,8
"Servicos de acabamentos graficos, exceto encadernacao e plastificacao",11,0,0,0,0,11,0.0,0.0,0.0,11,11,11
Serrarias com desdobramento de madeira em bruto,10,1,1,1,1,9,10.0,10.0,10.0,9,9,9
Outras obras de instalacoes em construcoes nao especificadas anteriormente,10,0,1,0,1,9,0.0,10.0,10.0,10,9,9
Construcao de estacoes e redes de telecomunicacoes,10,3,0,0,3,7,30.0,0.0,30.0,7,10,7
"Manutencao e reparacao de maquinas e equipamentos para a industria textil, do vestuario, do couro e calcados",10,0,0,0,0,10,0.0,0.0,0.0,10,10,10
Manutencao de redes de distribuicao de energia eletrica,10,0,0,0,0,10,0.0,0.0,0.0,10,10,10
Comercio atacadista de energia eletrica,10,0,0,0,0,10,0.0,0.0,0.0,10,10,10
"Fabricacao de maquinas e equipamentos para uso industrial especifico nao especificados anteriormente, pecas e acessorios",10,1,0,0,1,9,10.0,0.0,10.0,9,10,9
"Fabricacao de adubos e fertilizantes, exceto organominerais",9,2,0,0,2,7,22.2222,0.0,22.2222,7,9,7
