Origem da Cobertura,CNPJ,Razão Social,Categoria,Porte,CNAE,COBERTURA,CNPJ_NORMALIZADO
Migração,66745231000132,Panificacao A Casa Portuguesa Pao E Mais Ltda,Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,SESI,66745231000132
Migração,66799281000100,Dfs Comercio E Industria Ltda,Indústria,3.Pequena,Fabricação de gelo comum,SESI,66799281000100
Migração,68362521000122,Alagoas Rendering Ltda,Indústria,3.Pequena,Preparação de subprodutos do abate,SESI,68362521000122
Migração,68409605000174,Paraty Ltda,Indústria,2.Média,Fabricação de azulejos e pisos,SESI,68409605000174
Migração,69973477000150,Ortotrauma Servicos Medicos Ltda,Não Indústria,3.Pequena,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",SESI,69973477000150
Migração,69975530000151,Consultar Assist Tec Em Documentacao E Informacao Ltda,Não Indústria,4.Micro,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,SESI,69975530000151
Proposta,69987485000155,Escola De Educacao Basica Santa Izabel Ltda,Não Indústria,4.Micro,Educação infantil - pré-escola,SESI,69987485000155
Migração,69987980000164,M De Lourdes O Araujo,Não Indústria,4.Micro,Comércio varejista de materiais de construção em geral,SESI,69987980000164
Migração,70003504000140,M J Lopes Da Silva Ltda,Não Indústria,3.Pequena,Ensino fundamental,SESI,70003504000140
Migração,70005723000169,Nucleo De Prevencao E Diagnostico Do Cancer Ltda,Não Indústria,4.Micro,Laboratórios de anatomia patológica e citológica,SESI,70005723000169
Migração,70005855000190,Hormoclinica Ltda,Não Indústria,3.Pequena,Laboratórios clínicos,SESI,70005855000190
Proposta,70014030000132,Instituto Da Visao Ltda,Não Indústria,2.Média,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",SESI,70014030000132
Proposta,70940994009249,Pandurata Alimentos Ltda,Não Indústria,3.Pequena,"Comércio atacadista de pães, bolos, biscoitos e similares",SESI,70940994009249
Migração,78391612000140,Ibq - Industrias Quimicas S/a,Indústria,4.Micro,"Fabricação de pólvoras, explosivos e detonantes",SESI,78391612000140
Proposta,79500385000106,Consistem Sistemas Ltda,Indústria,2.Média,Desenvolvimento e licenciamento de programas de computador não-customizáveis,SESI,79500385000106
Proposta,82945932000171,Parati Industria E Comercio De Alimentos Ltda,Indústria,2.Média,Fabricação de biscoitos e bolachas,SESI,82945932000171
Proposta,82984287000104,Irmaos Fischer Sa Ind E Com,Indústria,1.Grande,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",SESI,82984287000104
Migração,83475913004774,Pbg S/a,Não Indústria,2.Média,Serviços combinados de escritório e apoio administrativo,SESI,83475913004774
Migração,88301155006905,Moinhos Cruzeiro Do Sul S A,Não Indústria,4.Micro,"Comércio atacadista de farinhas, amidos e féculas",SESI,88301155006905
Migração,96825575003308,Intermaritima Portos E Logistica S/a,Não Indústria,3.Pequena,Operações de terminais,SESI,96825575003308
Proposta,360305000104,Caixa Economica Federal,Nao Industria,4.Micro,Caixas econômicas,SENAI,00360305000104
Migração,1129810000105,Fundo Municipal De Educacao,Nao Industria,4.Micro,Atividades de associações de defesa de direitos sociais,SENAI,01129810000105
Proposta,1177442000170,Avante Energia E Servicos Ltda,Nao Industria,4.Micro,Outras atividades de prestação de serviços de informação não especificadas anteriormente,SENAI,01177442000170
Migração,1285165000462,O Borrachao Ltda,Nao Industria,4.Micro,Comércio varejista de outros produtos não especificados anteriormente,SENAI,01285165000462
Proposta,1551272002005,Asa Industria E Comercio Ltda,Nao Industria,3.Pequena,Comércio atacadista de produtos alimentícios em geral,SENAI,01551272002005
Proposta,1864858000167,Dilab- Diagnostico Laboratorial S/s Ltda,Nao Industria,4.Micro,Laboratórios clínicos,SENAI,01864858000167
Proposta,2359689000170,Sk Infraestrutura Ltda,Industria,4.Micro,"Obras portuárias, marítimas e fluviais",SENAI,02359689000170
Proposta,2586873000153,Casel Servicos De Eletricidade Ltda,Industria,4.Micro,Construção de edifícios,SENAI,02586873000153
Proposta,2867678000100,Nip Global Ltda,Industria,2.Média,Serviços de engenharia,SENAI,02867678000100
